account_number,first_name,last_name,current_balance,last_update
5048375212666092,Normie,Baguley,$4649.51,12/11/2021
5108759236712676,Georgie,Newrick,$2669.86,10/14/2021
5048374260943461,Howie,Jado,$5247.35,8/8/2022
5108755156550807,Westbrooke,Gilston,$2193.97,10/31/2021
5048371808663403,Dennis,Copnall,$3662.82,7/26/2022
5048379593655716,Jennifer,Slingsby,$9631.70,11/26/2021
5048374839990175,Salvador,Dragon,$6925.80,11/12/2021
5048373488695135,Bette,Dalliwatr,$1125.12,7/31/2022
5108756633700551,Midge,Palle,$3432.16,1/20/2022
5048376602602358,Merrily,Phette,$7664.10,12/3/2021
5048376093951603,Dianna,Seeking,$9032.07,3/8/2022
5108759721063684,Fernando,Schapiro,$2271.52,3/3/2022
5108753889564013,Ada,Perkin,$9658.62,3/22/2022
5108753059918973,Nanice,Girardin,$9456.28,4/7/2022
5048373564288979,Harald,Imore,$7008.59,12/31/2021
5108755003275418,Reinhold,Smalman,$7952.30,3/3/2022
5108752322114006,Harp,Somerscales,$7615.56,1/27/2022
5048375173971382,Avrom,Doorbar,$3134.58,3/6/2022
5108753744496336,Chantalle,Dunbar,$5450.61,11/26/2021
5048373729239750,Lazaro,Frantz,$2009.25,2/4/2022
5048379474727550,Orin,Sherel,$9450.83,9/30/2021
5108754202997716,Karisa,Stuehmeyer,$9767.45,8/4/2022
5108753659453850,Tonnie,Hasselby,$1494.96,11/2/2021
5108756751322618,Gibbie,De Haven,$2563.89,10/3/2021
5048373516621277,Fonz,Heppenspall,$7925.84,3/3/2022
5108759499213537,Davon,Boissier,$6699.79,11/10/2021
5048372292135841,Beau,Pilger,$2920.89,4/11/2022
5108754060492727,Rutherford,Whawell,$2823.24,12/14/2021
5108759844158049,Jennilee,Prisk,$5601.01,2/5/2022
5048375594512955,Tamiko,Landall,$4792.02,12/6/2021
5048375449657658,Demetra,Singleton,$2520.70,3/26/2022
5048375790220577,Earl,Zanazzi,$3107.37,8/29/2022
5048373612212385,Rainer,Meegan,$1876.24,4/22/2022
5048374476898970,Herman,Pietri,$6715.72,9/23/2021
5048377563094437,Yvette,Messager,$1213.18,8/11/2022
5048374324174269,Maryrose,Filon,$9723.58,7/9/2022
5108751205401555,Hermine,Bert,$7297.52,8/14/2022
5108754934996119,Donna,MacAllen,$2538.18,8/11/2022
5108757398059142,Shena,Dybald,$5351.41,9/22/2021
5048374933893234,Padriac,Towll,$3034.37,7/14/2022
5048376907407065,Swen,Eskrigge,$903.01,3/26/2022
5048370391140902,Egbert,Ghirigori,$2675.56,2/10/2022
5048374223096571,Gwennie,Bellfield,$9313.72,8/29/2022
5048371403086398,Pearle,Allsupp,$8936.80,11/15/2021
5108750985427525,Kikelia,Dutson,$882.81,1/9/2022
5108750778923516,Doralynn,Purselowe,$4668.98,7/23/2022
5108751206112946,Donalt,Storch,$7507.21,11/22/2021
5048372725468512,Reed,Deville,$4475.43,7/13/2022
5048378864101780,Renault,Manuel,$7613.15,7/2/2022
5108753988563452,Bernetta,Swapp,$692.34,11/6/2021
5108757142297568,Lancelot,Eaglestone,$9972.25,6/17/2022
5048374132328271,Kacie,Fortesquieu,$3456.26,2/3/2022
5048374109970659,Josy,Arton,$7555.31,9/15/2021
5048375941106246,Serena,Douse,$9126.43,12/22/2021
